condition,degradation_ratio,yolo_label,objects,prototype_accuracy,head_accuracy,avg_prototype_similarity,avg_head_confidence
clean,0.0,Building,4.0,0.25,0.0,0.5936904400587082,0.395692047761695
clean,0.0,Bicycle Rack,2.0,0.0,0.0,0.5522582232952118,0.5424720416482831
clean,0.0,Electrical Pole,8.0,0.25,0.25,0.621502049267292,0.509391676915096
clean,0.0,Electrical Box,4.0,1.0,0.25,0.6830787509679794,0.572971784700319
clean,0.0,Traffic sign,5.0,0.2,0.4,0.5815751433372498,0.5593884869639497
clean,0.0,Bench,6.0,0.5,0.5,0.669747918844223,0.660465538057445
clean,0.0,Bus,5.0,0.4,0.6,0.6562045931816101,0.7116878026223717
clean,0.0,Truck,5.0,1.0,0.6,0.6864567160606384,0.7903617421471424
clean,0.0,Dog,8.0,0.625,0.625,0.6207506433129311,0.6763735043788004
clean,0.0,Bike,3.0,0.6666666666666666,0.6666666666666666,0.7734218637148539,0.8750123412292252
clean,0.0,Plant Pot,3.0,0.6666666666666666,0.6666666666666666,0.7307112216949463,0.7488816173381988
clean,0.0,Guard rail,15.0,0.7333333333333333,0.7333333333333333,0.6195844093958537,0.8620497629363013
clean,0.0,Manhole,28.0,0.75,0.8214285714285714,0.6417425274848938,0.8242336965122758
clean,0.0,Pedestrian crosswalk,18.0,0.7222222222222222,0.8333333333333334,0.6144289142555661,0.7911232310204497
clean,0.0,Tree,9.0,1.0,0.8888888888888888,0.6288387378056844,0.8654278736044164
clean,0.0,Car,21.0,0.9047619047619048,1.0,0.5913520568893069,0.9524297467623993
clean,0.0,Stairs,12.0,1.0,1.0,0.6701826453208923,0.9056666291115508
clean,0.0,Dustbin,10.0,0.4,1.0,0.6710629999637604,0.7302707864307896
clean,0.0,Chair,7.0,1.0,1.0,0.8123991148812431,0.9649126326161535
clean,0.0,Person,7.0,0.5714285714285714,1.0,0.5738606878689357,0.7655626664056329
clean,0.0,Traffic Cone,7.0,0.7142857142857143,1.0,0.6794622199875968,0.8170203458114844
clean,0.0,Motorcycle,6.0,0.8333333333333334,1.0,0.5839523077011108,0.8929052992662094
clean,0.0,Fire hydrant,2.0,1.0,1.0,0.8204467594623566,0.9471229416695532
pixel_25,0.25,Traffic sign,5.0,0.0,0.0,0.5882691502571106,0.48932414661839757
pixel_25,0.25,Bicycle Rack,2.0,0.0,0.0,0.5650212466716766,0.5029884996979699
pixel_25,0.25,Plant Pot,3.0,0.3333333333333333,0.3333333333333333,0.6550792654355367,0.5751966920382029
pixel_25,0.25,Chair,7.0,0.42857142857142855,0.42857142857142855,0.6300561087472099,0.4583949006677525
pixel_25,0.25,Electrical Pole,8.0,0.125,0.5,0.6377100721001625,0.5559800903486265
pixel_25,0.25,Bench,6.0,0.5,0.5,0.6367805401484171,0.7602235075111242
pixel_25,0.25,Building,4.0,0.25,0.5,0.6175548881292343,0.5498208163956225
pixel_25,0.25,Electrical Box,4.0,1.0,0.5,0.6697154194116592,0.4837685090208105
pixel_25,0.25,Truck,5.0,0.6,0.6,0.6667427182197571,0.7788003633751885
pixel_25,0.25,Dog,8.0,0.625,0.625,0.6051729582250118,0.6468069946053178
pixel_25,0.25,Guard rail,15.0,0.8,0.6666666666666666,0.6058665871620178,0.7244367126393286
pixel_25,0.25,Bike,3.0,0.6666666666666666,0.6666666666666666,0.7623112599054972,0.9189270815115876
pixel_25,0.25,Dustbin,10.0,0.4,0.7,0.657434058189392,0.6181784586587383
pixel_25,0.25,Manhole,28.0,0.6428571428571429,0.7142857142857143,0.6304834932088852,0.7028864138635873
pixel_25,0.25,Bus,5.0,0.4,0.8,0.668449318408966,0.7504552157980404
pixel_25,0.25,Pedestrian crosswalk,18.0,0.9444444444444444,0.8333333333333334,0.6201605995496114,0.7842070826109571
pixel_25,0.25,Motorcycle,6.0,0.6666666666666666,0.8333333333333334,0.6124034523963928,0.8217090493782554
pixel_25,0.25,Tree,9.0,0.6666666666666666,0.8888888888888888,0.5707794460985396,0.6839968289151914
pixel_25,0.25,Car,21.0,0.8571428571428571,0.9047619047619048,0.6067038632574535,0.921425387621407
pixel_25,0.25,Stairs,12.0,1.0,1.0,0.6640975773334503,0.906527250705447
pixel_25,0.25,Person,7.0,0.7142857142857143,1.0,0.5849622402872358,0.6767511955848712
pixel_25,0.25,Traffic Cone,7.0,0.8571428571428571,1.0,0.6395426733153207,0.7796457733066255
pixel_25,0.25,Fire hydrant,2.0,1.0,1.0,0.763470470905304,0.9116574718605064
pixel_50,0.5,Traffic sign,5.0,0.0,0.0,0.6030789375305176,0.5430394527780467
pixel_50,0.5,Bicycle Rack,2.0,0.0,0.0,0.6042560040950775,0.4438493541235919
pixel_50,0.5,Chair,7.0,0.14285714285714285,0.14285714285714285,0.6257382546152387,0.46789548442236206
pixel_50,0.5,Bench,6.0,0.16666666666666666,0.16666666666666666,0.6161753038565317,0.5865203539758449
pixel_50,0.5,Bus,5.0,0.0,0.2,0.6383785367012024,0.4464538501454557
pixel_50,0.5,Plant Pot,3.0,0.3333333333333333,0.3333333333333333,0.6682314078013102,0.5658007086290578
pixel_50,0.5,Electrical Pole,8.0,0.125,0.375,0.6293024942278862,0.6133138064738914
pixel_50,0.5,Dustbin,10.0,0.2,0.4,0.654133266210556,0.510375598999506
pixel_50,0.5,Dog,8.0,0.625,0.5,0.6035291776061058,0.5903067882443658
pixel_50,0.5,Building,4.0,0.5,0.5,0.6126564890146255,0.6404621367518263
pixel_50,0.5,Electrical Box,4.0,0.75,0.5,0.6657109558582306,0.479443851689781
pixel_50,0.5,Tree,9.0,0.3333333333333333,0.5555555555555556,0.5977235502666898,0.6255878315278668
