condition,degradation_ratio,yolo_label,objects,prototype_accuracy,head_accuracy,avg_prototype_similarity,avg_head_confidence
pixel_50,0.5,Guard rail,15.0,0.6,0.6,0.5968031922976176,0.5582762808734402
pixel_50,0.5,Truck,5.0,0.6,0.6,0.6480563402175903,0.7530338778290744
pixel_50,0.5,Manhole,28.0,0.5357142857142857,0.6071428571428571,0.6274815372058323,0.6834403784856864
pixel_50,0.5,Motorcycle,6.0,0.5,0.6666666666666666,0.6222345729668936,0.7326251114223791
pixel_50,0.5,Bike,3.0,0.6666666666666666,0.6666666666666666,0.7397192319234213,0.8700749362637762
pixel_50,0.5,Person,7.0,0.7142857142857143,0.7142857142857143,0.5759603892053876,0.6113850589629655
pixel_50,0.5,Car,21.0,0.8095238095238095,0.8095238095238095,0.6250896737689063,0.7735054447137613
pixel_50,0.5,Traffic Cone,7.0,0.5714285714285714,0.8571428571428571,0.6236411843981061,0.6394698291029205
pixel_50,0.5,Pedestrian crosswalk,18.0,0.9444444444444444,0.8888888888888888,0.6313454343212975,0.7761602521807812
pixel_50,0.5,Stairs,12.0,0.9166666666666666,1.0,0.6558778882026672,0.8250634473213231
pixel_50,0.5,Fire hydrant,2.0,1.0,1.0,0.7251212000846863,0.5689681424128883
pixel_75,0.75,Motorcycle,6.0,0.0,0.0,0.6060683925946554,0.6250804441845877
pixel_75,0.75,Bus,5.0,0.0,0.0,0.6055909752845764,0.6332403151760857
pixel_75,0.75,Traffic sign,5.0,0.0,0.0,0.5996283411979675,0.6427658161327775
pixel_75,0.75,Truck,5.0,0.0,0.0,0.6137697458267212,0.4472580167862571
pixel_75,0.75,Plant Pot,3.0,0.3333333333333333,0.0,0.6253393888473511,0.33781878668153853
pixel_75,0.75,Bicycle Rack,2.0,0.0,0.0,0.6591324806213379,0.40871976097054086
pixel_75,0.75,Fire hydrant,2.0,0.0,0.0,0.6048334538936615,0.29309838917826103
pixel_75,0.75,Guard rail,15.0,0.13333333333333333,0.06666666666666667,0.5855875670909881,0.5352928878840559
pixel_75,0.75,Dog,8.0,0.25,0.125,0.5489757359027863,0.32127578001114265
pixel_75,0.75,Chair,7.0,0.2857142857142857,0.14285714285714285,0.6031314475195748,0.4839159637739909
pixel_75,0.75,Person,7.0,0.2857142857142857,0.14285714285714285,0.5764924883842468,0.5815719022193654
pixel_75,0.75,Bench,6.0,0.16666666666666666,0.16666666666666666,0.5713983128468195,0.4368100182947691
pixel_75,0.75,Electrical Pole,8.0,0.25,0.25,0.6091820672154427,0.5666684392222145
pixel_75,0.75,Electrical Box,4.0,0.5,0.25,0.6363043189048767,0.5143244419213489
pixel_75,0.75,Manhole,28.0,0.32142857142857145,0.2857142857142857,0.5909010427338737,0.558718004526357
pixel_75,0.75,Dustbin,10.0,0.0,0.3,0.6223845839500427,0.39641241735684457
pixel_75,0.75,Car,21.0,0.2857142857142857,0.3333333333333333,0.6215838023594448,0.4808011858277411
pixel_75,0.75,Bike,3.0,0.3333333333333333,0.3333333333333333,0.6570317347844442,0.7023704877595439
pixel_75,0.75,Building,4.0,0.25,0.5,0.5945081114768982,0.73367118528068
pixel_75,0.75,Traffic Cone,7.0,0.2857142857142857,0.5714285714285714,0.6190433587346759,0.6049995705852054
pixel_75,0.75,Tree,9.0,0.2222222222222222,0.6666666666666666,0.6127026610904269,0.5638501672987628
pixel_75,0.75,Stairs,12.0,0.8333333333333334,0.75,0.6134484310944875,0.6511226693390133
pixel_75,0.75,Pedestrian crosswalk,18.0,0.9444444444444444,0.9444444444444444,0.6198018259472318,0.725489746479704
