condition,degradation_ratio,rows,objects,classes,prototype_accuracy,head_accuracy,prototype_macro_accuracy,head_macro_accuracy,avg_prototype_similarity,avg_head_confidence
clean,0.0,195.0,195.0,23.0,0.7128205128205128,0.7794871794871795,0.660334713595583,0.6884920634920635,0.641330185914651,0.7942647404196528
pixel_25,0.25,195.0,195.0,23.0,0.6615384615384615,0.7230769230769231,0.5859903381642512,0.6519496204278813,0.6278019107305086,0.7245408628839968
pixel_50,0.5,195.0,195.0,23.0,0.5487179487179488,0.6,0.4797791580400276,0.5253795721187026,0.627272552710313,0.6536430434532283
pixel_75,0.75,195.0,195.0,23.0,0.31794871794871793,0.3333333333333333,0.24699792960662523,0.2534334023464458,0.6048833865385789,0.5486266741181489
