condition,degradation_ratio,rows,objects,classes,prototype_accuracy,head_accuracy,prototype_macro_accuracy,head_macro_accuracy,avg_prototype_similarity,avg_head_confidence
clean,0.0,49.0,49.0,18.0,0.6122448979591837,0.7142857142857143,0.5833333333333334,0.6944444444444444,0.6111243823353125,0.729597407014936
pixel_25,0.25,49.0,49.0,18.0,0.5510204081632653,0.6326530612244898,0.5138888888888888,0.5648148148148148,0.5853971218576237,0.6470985516125732
pixel_50,0.5,49.0,49.0,18.0,0.46938775510204084,0.4897959183673469,0.3935185185185185,0.412037037037037,0.58723155941282,0.5623768635136382
pixel_75,0.75,49.0,49.0,18.0,0.2653061224489796,0.2653061224489796,0.21759259259259256,0.2222222222222222,0.5724840243251956,0.44847570779105944
